job_id,scenario,seed,symbols,nu,spans,launch_power_dbm,output_csv,log_path,command,status
confirm_045_s_seed35,S,35,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_045_s_seed35.csv,results/final/logs/confirm_045_s_seed35.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 35 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_045_s_seed35.csv --log results/final/logs/confirm_045_s_seed35.log",planned_not_run
confirm_046_s_seed36,S,36,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_046_s_seed36.csv,results/final/logs/confirm_046_s_seed36.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 36 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_046_s_seed36.csv --log results/final/logs/confirm_046_s_seed36.log",planned_not_run
confirm_047_s_seed37,S,37,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_047_s_seed37.csv,results/final/logs/confirm_047_s_seed37.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 37 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_047_s_seed37.csv --log results/final/logs/confirm_047_s_seed37.log",planned_not_run
confirm_048_s_seed38,S,38,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_048_s_seed38.csv,results/final/logs/confirm_048_s_seed38.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 38 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_048_s_seed38.csv --log results/final/logs/confirm_048_s_seed38.log",planned_not_run
confirm_049_s_seed39,S,39,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_049_s_seed39.csv,results/final/logs/confirm_049_s_seed39.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 39 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_049_s_seed39.csv --log results/final/logs/confirm_049_s_seed39.log",planned_not_run
confirm_050_s_seed40,S,40,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_050_s_seed40.csv,results/final/logs/confirm_050_s_seed40.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 40 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_050_s_seed40.csv --log results/final/logs/confirm_050_s_seed40.log",planned_not_run
confirm_051_s_seed41,S,41,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_051_s_seed41.csv,results/final/logs/confirm_051_s_seed41.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 41 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_051_s_seed41.csv --log results/final/logs/confirm_051_s_seed41.log",planned_not_run
confirm_052_s_seed42,S,42,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_052_s_seed42.csv,results/final/logs/confirm_052_s_seed42.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 42 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_052_s_seed42.csv --log results/final/logs/confirm_052_s_seed42.log",planned_not_run
confirm_053_s_seed43,S,43,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_053_s_seed43.csv,results/final/logs/confirm_053_s_seed43.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 43 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_053_s_seed43.csv --log results/final/logs/confirm_053_s_seed43.log",planned_not_run
confirm_054_s_seed44,S,44,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_054_s_seed44.csv,results/final/logs/confirm_054_s_seed44.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 44 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_054_s_seed44.csv --log results/final/logs/confirm_054_s_seed44.log",planned_not_run
