scenario,stage,seed,symbols,nu,spans,launch_power_dbm,uniform_bmd_rate_bit_per_symbol,pcs_stored_score_bit_per_symbol,entropy_correction_bit_per_symbol,pcs_corrected_bmd_rate_bit_per_symbol,delta_corrected_bmd_gain_bit_per_symbol,ber_uniform,ber_pcs,gsnr_uniform_db,gsnr_pcs_db,notes
S,final_confirmation,49,131072,0.36,12,-2,3.750101979,3.78521769,0.02960839165,3.755609298,0.005507319342,0.01584815979,0.01197052002,13.44945185,13.38762556,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,50,131072,0.36,12,-2,3.753585181,3.782261318,0.02960839165,3.752652926,-0.0009322555514,0.01558876038,0.01207733154,13.45239947,13.38724356,day8_waveform_surrogate_confirmation_adapter
C+S,final_confirmation,21,131072,0.36,12,0,3.582290494,3.624453753,0.02960839165,3.594845361,0.01255486659,0.02603435516,0.02142429352,12.3204802,12.15635977,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,22,131072,0.36,12,0,3.590783112,3.61995188,0.02960839165,3.590343488,-0.0004396241579,0.02572631836,0.02171897888,12.32559966,12.1422781,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,23,131072,0.36,12,0,3.592060888,3.627435588,0.02960839165,3.597827196,0.005766308787,0.02586174011,0.02137088776,12.33232016,12.16644016,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,24,131072,0.36,12,0,3.596282456,3.626834094,0.02960839165,3.597225703,0.0009432470962,0.02562046051,0.02150917053,12.33718304,12.12803596,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,25,131072,0.36,12,0,3.596873864,3.626291936,0.02960839165,3.596683544,-0.0001903195777,0.02578639984,0.0215177536,12.32939356,12.13151038,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,26,131072,0.36,12,0,3.591726814,3.623532672,0.02960839165,3.59392428,0.002197466024,0.0256061554,0.02163505554,12.34575122,12.13157155,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,27,131072,0.36,12,0,3.595075609,3.627731529,0.02960839165,3.598123137,0.00304752803,0.0257434845,0.02153778076,12.33612467,12.14583827,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,28,131072,0.36,12,0,3.59078578,3.621140544,0.02960839165,3.591532153,0.0007463729533,0.02576637268,0.02133560181,12.34281904,12.15193291,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,29,131072,0.36,12,0,3.600874779,3.620793104,0.02960839165,3.591184713,-0.009690066015,0.02547740936,0.0215959549,12.3395652,12.15498842,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,30,131072,0.36,12,0,3.598829512,3.625709456,0.02960839165,3.596101065,-0.002728446812,0.02582931519,0.02164459229,12.34238959,12.14078709,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,31,131072,0.36,12,0,3.589692532,3.616709343,0.02960839165,3.587100951,-0.002591580647,0.02580070496,0.02151298523,12.32794991,12.14801148,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,32,131072,0.36,12,0,3.591258602,3.619942755,0.02960839165,3.590334363,-0.0009242390347,0.02597904205,0.02146339417,12.32452029,12.14021852,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,33,131072,0.36,12,0,3.594608678,3.621475591,0.02960839165,3.591867199,-0.002741478845,0.02602100372,0.02157020569,12.32285353,12.13568333,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,34,131072,0.36,12,0,3.5952908,3.619639433,0.02960839165,3.590031041,-0.005259758718,0.02569103241,0.02154922485,12.34989367,12.13251988,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,35,131072,0.36,12,0,3.584978459,3.618739865,0.02960839165,3.589131473,0.004153014107,0.02581596375,0.02164936066,12.34221244,12.14414191,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,36,131072,0.36,12,0,3.593875248,3.627801464,0.02960839165,3.598193072,0.004317824057,0.02592468262,0.02139949799,12.33054682,12.14955555,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,37,131072,0.36,12,0,3.592242723,3.623764384,0.02960839165,3.594155992,0.001913269263,0.02565860748,0.021484375,12.33024001,12.15227788,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,38,131072,0.36,12,0,3.593761698,3.629251212,0.02960839165,3.59964282,0.005881121931,0.02583789825,0.02154254913,12.33433388,12.13376014,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
C+S,final_confirmation,39,131072,0.36,12,0,3.591413268,3.626750062,0.02960839165,3.597141671,0.005728403067,0.02591514587,0.02149105072,12.3196496,12.14829651,day8_waveform_surrogate_confirmation_adapter; C+S uses existing Day-8 two-band surrogate and stress/penalty logic
