seed,launch_power_dbm,scenario,display_name,band,channel_id,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after,residual_mse_improvement_percent
1,2.0,proposed_pcs_neural,PCS + Neural NLI,C,0,True,True,0.0013200000000000002,0.004042370384457496,0.003223372925684375,0.00858574331014187,21.49786551391667,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.21830679999948188,0.0008935999994719168,0.007391736251498667,0.00664096279662878,10.156929702648254
1,2.0,proposed_pcs_neural,PCS + Neural NLI,L,0,True,True,0.0014674858800117008,0.0036718197658822263,0.003223372925684375,0.008362678571578302,21.693723697167478,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.20791190000090864,0.0009081999996851664,0.007063534440751868,0.00633458026487631,10.31996349688592
1,4.0,uniform_baseline,Uniform baseline,O,0,False,False,0.0021114165977713633,0.023582030749947223,0.003223372925684375,0.02891682027340296,16.804117999075704,4.0,0.0045,0.001125,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.02088985842948789,0.02088985842948789,0.0
1,4.0,uniform_baseline,Uniform baseline,E,0,False,False,0.001873155928629602,0.020961805111064196,0.003223372925684375,0.026058333965378173,17.358492399109558,4.0,0.0025,0.000625,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.01872449765076462,0.01872449765076462,0.0
1,4.0,uniform_baseline,Uniform baseline,S,0,False,False,0.0015652147475806513,0.015721353833298146,0.003223372925684375,0.020509941506563174,18.228507529645913,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.015289200803490381,0.015289200803490381,0.0
1,4.0,uniform_baseline,Uniform baseline,C,0,False,False,0.0013200000000000002,0.011538608318016988,0.003223372925684375,0.016081981243701363,19.239373390730506,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.012018983376241991,0.012018983376241991,0.0
1,4.0,uniform_baseline,Uniform baseline,L,0,False,False,0.0014674858800117008,0.010480902555532098,0.003223372925684375,0.015171761361228175,19.269793490812145,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011537569855577984,0.011537569855577984,0.0
1,4.0,pcs_only,PCS only,O,0,True,False,0.0021114165977713633,0.020752187059953554,0.003223372925684375,0.026086976583409294,16.77610404147125,3.9925404097316766,0.002,0.0005009341909539778,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.019361190669881224,0.019361190669881224,0.0
1,4.0,pcs_only,PCS only,E,0,True,False,0.001873155928629602,0.018446388497736492,0.003223372925684375,0.02354291735205047,17.20885465037047,3.9925404097316766,0.0025,0.0006261677386924722,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.017844424005757708,0.017844424005757708,0.0
1,4.0,pcs_only,PCS only,S,0,True,False,0.0015652147475806513,0.01383479137330237,0.003223372925684375,0.018623379046567398,18.209909563015025,3.9925404097316766,0.0005,0.00012523354773849444,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.01420108948853994,0.01420108948853994,0.0
