band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,train_time_s_mean,train_time_s_std,train_time_s_ci95,inference_time_s_mean,inference_time_s_std,inference_time_s_ci95,parameter_count_mean,parameter_count_std,parameter_count_ci95
C,6,2.0,0.0,False,evidence,DBP-like,dbp_like,5,3.8697811662809607,0.009115266641954924,0.007989883491023399,0.9674452915702402,0.002278816660488731,0.0019974708727558497,0.008089192708333333,0.0004945145215631296,0.0004334610897417698,14.420300230966472,0.04691422533221691,0.041122131606195225,0.41277665773663585,0.0009722951084751856,0.0008522542390424903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,6,2.0,0.0,False,evidence,Linear EQ,linear,5,3.859690316554567,0.009975282863993509,0.008743720946841883,0.9649225791386418,0.0024938207159983772,0.0021859302367104707,0.008634440104166665,0.0005316252037949079,0.00046599003694113646,14.277932213519183,0.04792476934558888,0.042007912488592064,0.4117003004324872,0.001064030172159288,0.000932663567663117,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,6,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.8354408040207155,0.010764479751958055,0.009435482519376929,0.9588602010051789,0.002691119937989514,0.002358870629844232,0.009651692708333333,0.000798086371771961,0.0006995535486457234,14.75853185961316,0.1660593952342968,0.14555747765018576,0.40911368576220963,0.0011482111735421866,0.0010064514687335338,1.5842114999992192,0.3399319495842582,0.29796349122181764,0.005930700000317301,0.0006700823699487781,0.000587353094054015,7538.0,0.0,0.0
C,6,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.82957211115106,0.00658211993569783,0.005769482504012542,0.957393027787765,0.0016455299839244575,0.0014423706260031355,0.010009765625,0.00037514422433646184,0.00032882841089724177,15.334363684110366,0.043488413646284065,0.0381192752655145,0.40848769185611306,0.0007020927931410913,0.0006154114670946618,0.005870760000834707,0.002075768263184418,0.0018194911052706764,0.0,0.0,0.0,60.0,0.0,0.0
C,6,2.0,0.0,False,evidence,Raw,raw,5,3.8594617630361236,0.009874152600747347,0.008655076362707143,0.9648654407590309,0.0024685381501868366,0.002163769090676786,0.008691406250000002,0.0005356586013595062,0.0004695254657859483,14.278614677270415,0.047892095140435006,0.0419792722850088,0.41167592139051984,0.0010532429440797135,0.0009232081453554256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,6,4.0,0.0,False,evidence,DBP-like,dbp_like,5,3.770464780115345,0.017956892771460935,0.015739910497451208,0.9426161950288362,0.004489223192865234,0.003934977624362802,0.014314778645833331,0.0010923606889264089,0.0009574963605040771,13.653628430746101,0.03713450903625064,0.03254983231432555,0.4021829098789701,0.0019154018956225125,0.0016789237863948068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,6,4.0,0.0,False,evidence,Linear EQ,linear,5,3.7484603230176448,0.017967940437373525,0.015749594203584724,0.9371150807544112,0.004491985109343381,0.003937398550896181,0.01552734375,0.0011022437764268442,0.0009661592686516693,13.445125233331472,0.03866135896550822,0.03388817528576375,0.3998357677885488,0.0019165803133198293,0.0016799567150490254,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,6,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.7851092910781374,0.01302660186819636,0.011418319978900224,0.9462773227695344,0.00325665046704909,0.002854579994725056,0.011995442708333333,0.0008638385490914078,0.0007571878732024453,14.437125824778425,0.20465185381622789,0.17938525908693864,0.4037449910483348,0.001389504199274281,0.001217954131082693,1.7721435200000997,0.37348555662646193,0.32737452454659743,0.00847636000107741,0.0021740492140060173,0.0019056381569473974,7538.0,0.0,0.0
C,6,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.7551642533576697,0.021385413274587706,0.018745141221090555,0.9387910633394174,0.005346353318646926,0.004686285305272639,0.0142333984375,0.0011510337955901928,0.0010089256060449932,14.754986293300473,0.03775590564577241,0.03309451045779796,0.40055085369148474,0.002281110749289354,0.0019994817302496585,0.0062246800007415,0.0029552065413354076,0.002590352743879381,0.0,0.0,0.0,60.0,0.0,0.0
C,6,4.0,0.0,False,evidence,Raw,raw,5,3.7485061469185608,0.01825463844666227,0.016000896088795857,0.9371265367296402,0.0045636596116655674,0.004000224022198964,0.015616861979166665,0.001174528156169478,0.001029519321083517,13.445665209230047,0.03874212900014003,0.03395897334265259,0.39984065567131316,0.0019471614343106514,0.0017067622494715664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,6,6.0,0.0,False,evidence,DBP-like,dbp_like,5,3.470990065085359,0.03163481116898073,0.027729134585850513,0.8677475162713397,0.007908702792245183,0.006932283646462628,0.03226725260416667,0.0017347065224033367,0.0015205373084016,12.02507619512878,0.11428462235343771,0.10017488827115005,0.37023894027577164,0.0033743798580246195,0.0029577743558240623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,6,6.0,0.0,False,evidence,Linear EQ,linear,5,3.4334584877021337,0.030749776914330444,0.026953367857571464,0.8583646219255334,0.007687444228582611,0.006738341964392866,0.03450520833333333,0.0014221176853272542,0.001246541112027387,11.79373157351605,0.1123823012898916,0.09850743033960749,0.3662355720215609,0.0032799762041952384,0.0028750259048076154,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,6,6.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.60065360896746,0.022790576058533418,0.019976820706797897,0.900163402241865,0.005697644014633354,0.004994205176699474,0.022159830729166666,0.0018738665510386122,0.0016425164516430829,13.229690076115466,0.20715061910503005,0.18157552343280542,0.38406971828986236,0.002430994779576884,0.002130860875391764,1.5303754000007757,0.5207782367659103,0.45648225113553376,0.006609739997657016,0.0024073551372904467,0.0021101398153221926,7538.0,0.0,0.0
C,6,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.5085675976482706,0.03166454140383075,0.02775519428568629,0.8771418994120677,0.007916135350957688,0.006938798571421573,0.027197265625,0.001520471102979801,0.0013327516836820718,13.352928809029928,0.14450306680852762,0.12666252269369604,0.37424721041581555,0.0033775510830752827,0.0029605540571398734,0.005978619999950752,0.002416353183125613,0.0021180269502458124,0.0,0.0,0.0,60.0,0.0,0.0
C,6,6.0,0.0,False,evidence,Raw,raw,5,3.432773613886338,0.031025191420000046,0.027194779315784824,0.8581934034715845,0.007756297855000011,0.006798694828946206,0.03450520833333333,0.0015622032731488012,0.0013693315436658893,11.794773601512478,0.11208095809543651,0.09824329138360294,0.36616251881454276,0.0033093537514666694,0.0029007764603503792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,8,-2.0,0.0,False,evidence,DBP-like,dbp_like,5,3.889623543993145,0.004119120277892807,0.003610568115955527,0.9724058859982863,0.0010297800694732018,0.0009026420289888818,0.006925455729166666,0.00027955019591988404,0.00024503655055049605,14.630310646266807,0.0351602811608103,0.030819345283162197,0.4148931780259355,0.0004393728296419051,0.0003851272657019278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
