scenario_group,spans,launch_power_dbm,pcs_nu,n_pairs,gmi_gain_mean,gmi_gain_std,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_std,ngmi_gain_ci95,symbol_entropy_delta_mean,symbol_entropy_delta_std,symbol_entropy_delta_ci95,ber_delta_mean,ber_delta_std,ber_delta_ci95,gsnr_delta_mean,gsnr_delta_std,gsnr_delta_ci95,aggregate_air_gain_mean,aggregate_air_gain_std,aggregate_air_gain_ci95,air_gain_mean,air_gain_std,air_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_std,aggregate_rate_gain_ci95,rate_gain_mean,rate_gain_std,rate_gain_ci95
C,6,0.0,0.24,7,0.01616570637163336,0.007638078858701199,0.00565836800323856,0.007350141609270214,0.0019095197146752998,0.00141459200080964,-0.013234860065447496,0.0,0.0,-0.0020882742745535715,0.00034565211082091934,0.00025606266710547334,-0.03311194340262068,0.07415309801332617,0.05493338376071246,0.002069210415569083,0.0009776740939137743,0.0007242711044145511,0.002069210415569083,0.0009776740939137743,0.0007242711044145511,0.002069210415569083,0.0009776740939137743,0.0007242711044145511,0.002069210415569083,0.0009776740939137743,0.0007242711044145511
C,6,0.0,0.28,7,0.014359494472025907,0.00666576813860327,0.00493807014174941,0.008085946271344988,0.0016664420346508176,0.0012345175354373525,-0.017984290613354048,0.0,0.0,-0.0021275111607142855,0.00043327591881624683,0.000320975292473024,-0.04139504338550992,0.05810283807535043,0.04304318480404096,0.0018380152924193291,0.0008532183217412342,0.000632072978143936,0.0018380152924193291,0.0008532183217412342,0.000632072978143936,0.0018380152924193291,0.0008532183217412342,0.000632072978143936,0.0018380152924193291,0.0008532183217412342,0.000632072978143936
C,6,0.0,0.32,7,0.007673892644061249,0.007482903637641863,0.005543412590761067,0.007779693300172331,0.0018707259094104657,0.0013858531476902667,-0.023444880556628078,0.0,0.0,-0.002162388392857143,0.0005222069700666757,0.0003868563371962729,-0.050597291930678266,0.05129407704932126,0.03799918404886515,0.0009822582584398387,0.0009578116656181542,0.0007095568116174133,0.0009822582584398387,0.0009578116656181542,0.0007095568116174133,0.0009822582584398387,0.0009578116656181542,0.0007095568116174133,0.0009822582584398387,0.0009578116656181542,0.0007095568116174133
C,6,0.0,0.36,7,0.005833474255169653,0.006323150002276815,0.004684255074402946,0.008860466477333708,0.0015807875005692037,0.0011710637686007364,-0.029608391654165178,0.0,0.0,-0.002376011439732143,0.0005446136847968616,0.000403455463761004,-0.07251145891606267,0.07218897523056335,0.05347834124098823,0.0007466847046617074,0.0008093632002914116,0.0005995846495235618,0.0007466847046617074,0.0008093632002914116,0.0005995846495235618,0.0007466847046617074,0.0008093632002914116,0.0005995846495235618,0.0007466847046617074,0.0008093632002914116,0.0005995846495235618
C,6,2.0,0.12,7,0.011861776012818062,0.009900647872572662,0.007334502584989431,0.0037954800228962977,0.0024751619681431655,0.0018336256462473577,-0.003320144078767129,0.0,0.0,-0.0010157993861607143,0.0007272568493960942,0.0005387594135757175,-0.014285068050199103,0.04364910086047318,0.03233570643194849,0.0015183073296407082,0.0012672829276893208,0.0009388163308786621,0.0015183073296407082,0.0012672829276893208,0.0009388163308786621,0.0015183073296407082,0.0012672829276893208,0.0009388163308786621,0.0015183073296407082,0.0012672829276893208,0.0009388163308786621
C,6,2.0,0.16,7,0.01631426193211746,0.01409469758056821,0.01044149808879723,0.0055528651523846706,0.0035236743951420524,0.0026103745221993076,-0.005897198677421223,0.0,0.0,-0.0014081682477678572,0.0007593561218355122,0.0005625388873751442,-0.04245935495803747,0.06034037804789335,0.04470077761249712,0.0020882255273110433,0.0018041212903127425,0.001336511755366054,0.0020882255273110433,0.0018041212903127425,0.001336511755366054,0.0020882255273110433,0.0018041212903127425,0.001336511755366054,0.0020882255273110433,0.0018041212903127425,0.001336511755366054
C,6,2.0,0.2,7,0.01974076874838872,0.010121697721760045,0.007498258604912912,0.007236138607682384,0.002530424430440011,0.001874564651228228,-0.009203785682340815,0.0,0.0,-0.0016959054129464285,0.0007277140615681222,0.0005390981210927193,-0.03616640465379639,0.055147710915184944,0.040853995967697246,0.0025268183997937716,0.0012955773083852915,0.000959777101428857,0.0025268183997937716,0.0012955773083852915,0.000959777101428857,0.0025268183997937716,0.0012955773083852915,0.000959777101428857,0.0025268183997937716,0.0012955773083852915,0.000959777101428857
C,6,2.0,0.24,7,0.020151763559796913,0.01456261192313936,0.010788133884687823,0.008346655906311102,0.00364065298078484,0.0026970334711719558,-0.013234860065447496,0.0,0.0,-0.0020577566964285715,0.0010067497471297504,0.0007458106497470948,-0.012330088768654792,0.061850263410194166,0.04581931634201922,0.0025794257356540223,0.0018640143261618647,0.001380881137240061,0.0025794257356540223,0.0018640143261618647,0.001380881137240061,0.0025794257356540223,0.0018640143261618647,0.001380881137240061,0.0025794257356540223,0.0018640143261618647,0.001380881137240061
C,6,2.0,0.28,7,0.023182987050369697,0.012853403997741611,0.009521934934026961,0.010291819415930936,0.0032133509994354027,0.0023804837335067402,-0.017984290613354048,0.0,0.0,-0.0025721958705357145,0.0009026730058002649,0.0006687095207964264,-0.03851133346896037,0.057986686307994556,0.042957138370626965,0.0029674223424473295,0.0016452357117109388,0.00121880767155546,0.0029674223424473295,0.0016452357117109388,0.00121880767155546,0.0029674223424473295,0.0016452357117109388,0.00121880767155546,0.0029674223424473295,0.0016452357117109388,0.00121880767155546
C,6,2.0,0.32,7,0.015240624528424007,0.009391863793762827,0.006957590064792656,0.009671376271263021,0.0023479659484407066,0.001739397516198164,-0.023444880556628078,0.0,0.0,-0.002314976283482143,0.0006412150515589283,0.0004750187577341874,-0.06326811342730945,0.05034866536428012,0.03729881327141101,0.001950799939638275,0.0012021585656016587,0.0008905715282934724,0.001950799939638275,0.0012021585656016587,0.0008905715282934724,0.001950799939638275,0.0012021585656016587,0.0008905715282934724,0.001950799939638275,0.0012021585656016587,0.0008905715282934724
