spans,launch_power_dbm,band,pcs_nu,scenario,display_name,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,score_mean,score_std,score_ci95
8,0.0,C,0.0,dbp_like,DBP-like,3,0.00013667400278901307,0.00023672631690438103,0.0002678810454664656,3.4168500697253266e-05,5.918157922609526e-05,6.69702613666164e-05,0.4791056315104167,0.0018364720208979097,0.0020781637266242634,-3.036660663337594,0.07362586271409677,0.08331550684831232,1.4578560297494727e-05,2.5250807136467312e-05,2.8573978183089662e-05,-9.733931084814918,0.04012714903092464,0.045408143777840485
8,0.0,C,0.0,linear_eq,Linear EQ,3,0.0006277066191611539,0.0006160860187730756,0.000697166960413896,0.00015692665479028847,0.0001540215046932689,0.000174291740103474,0.5001627604166666,0.00517408715119683,0.005855030794725985,0.0031333688163805423,0.003998301887275192,0.004524504515002653,6.69553727105231e-05,6.571584200246141e-05,7.436447577748227e-05,-10.003031584519805,0.10371707383177695,0.11736691777281995
8,0.0,C,0.0,neural_residual,Neural residual,3,0.0008342621842021281,0.0005526424267438304,0.0006253737775384707,0.00020856554605053201,0.0001381606066859576,0.00015634344438461768,0.4940592447916667,0.0011193477134992611,0.0012666611792629574,-0.011508274881691852,0.013115051609745205,0.01484107801155157,8.898796631489367e-05,5.894852551934191e-05,6.67065362707702e-05,-9.881671321611103,0.02275530253562994,0.02575004888709715
8,0.0,C,0.0,pcs_neural,PCS + Neural,3,0.0008342621842021281,0.0005526424267438304,0.0006253737775384707,0.00020856554605053201,0.0001381606066859576,0.00015634344438461768,0.4940592447916667,0.0011193477134992611,0.0012666611792629574,-0.011508274881691852,0.013115051609745205,0.01484107801155157,8.898796631489367e-05,5.894852551934191e-05,6.67065362707702e-05,-9.881671321611103,0.02275530253562994,0.02575004888709715
8,0.0,C,0.0,pcs_raw,PCS raw,3,0.00012511105791494317,0.00021669870889737394,0.00024521767351328865,3.1277764478735794e-05,5.4174677224343485e-05,6.130441837832216e-05,0.4790852864583333,0.001881559870684863,0.002129185431759154,-3.038023569432196,0.0803867516842087,0.09096617293934868,1.3345179510927272e-05,2.3114528949053218e-05,2.6156551841417456e-05,-9.733593562458767,0.04157774738361078,0.047049650342682846
8,0.0,C,0.0,poly_nlc,Polynomial NLC,3,0.0030251362887684743,0.002203333480443387,0.0024933065489750692,0.0007562840721921186,0.0005508333701108467,0.0006233266372437673,0.4940592447916667,0.004003428609007032,0.004530305946779651,6.376278638661979e-06,0.015658271720041025,0.017719002489515582,0.00032268120413530394,0.00023502223791396125,0.0002659526985573407,-9.880861895815267,0.08078202329609128,0.0914134648755346
8,0.0,C,0.0,uniform_raw,Uniform raw,3,0.00012511105791494317,0.00021669870889737394,0.00024521767351328865,3.1277764478735794e-05,5.4174677224343485e-05,6.130441837832216e-05,0.4790852864583333,0.001881559870684863,0.002129185431759154,-3.038023569432196,0.0803867516842087,0.09096617293934868,1.3345179510927272e-05,2.3114528949053218e-05,2.6156551841417456e-05,-9.733593562458767,0.04157774738361078,0.047049650342682846
8,0.0,C,0.08,pcs_neural,PCS + Neural,3,0.0022357840408013807,0.0017600607875552278,0.0019916962761908266,0.0005589460102003452,0.00044001519688880694,0.0004979240690477066,0.4850056966145833,0.007385590180446797,0.008357582058458221,-0.002087069653090153,0.011254026348478252,0.012735129677851677,0.00023848363101881394,0.0001877398173392243,0.00021244760279368814,-9.699979802143302,0.14815112800342348,0.16764878352170556
8,0.0,C,0.08,pcs_raw,PCS raw,3,0.0019541303703797253,0.002496065236866299,0.0028245637153824646,0.0004885325925949313,0.0006240163092165748,0.0007061409288456162,0.4776407877604167,0.004716060309755426,0.0053367246311295385,-3.0696860007964166,0.09372898394647435,0.10606433006023948,0.00020844057284050404,0.0002662469585990719,0.0003012867963074629,-9.706091614675314,0.09852288478551077,0.11148913954241614
8,0.0,C,0.16,pcs_neural,PCS + Neural,3,0.0008755844974003649,0.0015165568358170918,0.0017161456149047156,0.00021889612435009123,0.00037913920895427296,0.0004290364037261789,0.4794514973958333,0.0030592762204758738,0.0034618969408576465,-0.026385871551614603,0.030648008190330943,0.034681486126474315,9.339567972270561e-05,0.00016176606248715646,0.000183055532256503,-9.590255845814525,0.06274286294873999,0.07100023327383835
