seed,regime,launch_power_dbm,band,spans,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps
2,easy,-2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.399359702278723,0.4266666666666667
2,easy,-2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,30.00876879758699,0.4266666666666667
2,easy,0.0,C,6,Raw,raw,4.0,1.0,0.0,27.072085612232687,0.4266666666666667
2,easy,0.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.17466570646675,0.4266666666666667
2,easy,0.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.438264906400203,0.4266666666666667
2,easy,0.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.40341308928196,0.4266666666666667
2,easy,0.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.865937234101843,0.4266666666666667
2,easy,2.0,C,6,Raw,raw,4.0,1.0,0.0,27.15951996284712,0.4266666666666667
2,easy,2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.15891876890515,0.4266666666666667
2,easy,2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.65932139812896,0.4266666666666667
2,easy,2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.484659464064272,0.4266666666666667
2,easy,2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.583345864404976,0.4266666666666667
2,easy,4.0,C,6,Raw,raw,4.0,1.0,0.0,26.870961233238745,0.4266666666666667
2,easy,4.0,C,6,Linear EQ,linear,4.0,1.0,0.0,26.873537612596547,0.4266666666666667
2,easy,4.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.822081369843737,0.4266666666666667
2,easy,4.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.361074939941506,0.4266666666666667
2,easy,4.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,30.007655368750545,0.4266666666666667
2,medium,-2.0,C,6,Raw,raw,3.999990227309725,0.9999975568274313,0.0,20.353918032273057,0.4266656242463707
2,medium,-2.0,C,6,Linear EQ,linear,3.9999909784243677,0.9999977446060919,0.0,20.36030403425428,0.4266657043652659
2,medium,-2.0,C,6,DBP-like,dbp_like,3.9999714690845583,0.9999928672711396,0.0,20.047469987985043,0.4266636233690196
2,medium,-2.0,C,6,Polynomial NLC,poly_nlc,3.999363535999226,0.9998408839998065,5.555555555555556e-05,20.882084958311573,0.4265987771732508
2,medium,-2.0,C,6,Neural residual,neural_residual,3.9988557250315537,0.9997139312578884,2.777777777777778e-05,25.469687574993912,0.4265446106700324
2,medium,0.0,C,6,Raw,raw,3.9999931991036406,0.9999982997759101,0.0,20.27057840501731,0.42666594123772167
2,medium,0.0,C,6,Linear EQ,linear,3.9999925545055715,0.9999981386263929,0.0,20.271393215386073,0.4266658724805943
2,medium,0.0,C,6,DBP-like,dbp_like,3.99999152061304,0.99999788015326,0.0,20.088657410150994,0.4266657621987243
2,medium,0.0,C,6,Polynomial NLC,poly_nlc,3.999985316771234,0.9999963291928085,0.0,20.80984256684086,0.4266651004555983
2,medium,0.0,C,6,Neural residual,neural_residual,3.9988196116476247,0.9997049029119062,2.777777777777778e-05,24.512434470311607,0.42654075857574664
2,medium,2.0,C,6,Raw,raw,3.9999995845892578,0.9999998961473144,0.0,20.040340202799044,0.4266666223561875
2,medium,2.0,C,6,Linear EQ,linear,3.9999996214145783,0.9999999053536446,0.0,20.041243953486422,0.42666662628422175
