seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,symbol_entropy_bits,conditional_bit_entropy_sum,bmd_gmi_bits_per_symbol,gmi,ngmi,ber,gsnr_db,air_tbps,rate_tbps
1,C,C,10,-2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.11810078044973994,3.878579075471493,3.878579075471493,0.970474804887565,0.007080078125,14.357601848924869,0.4964581216603511,0.4964581216603511
1,C,C,10,-2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.11824594578681422,3.8758568555357646,3.8758568555357646,0.9704385135532965,0.007568359375,14.321831303931688,0.4961096775085779,0.4961096775085779
1,C,C,10,-2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.1167672855456689,3.8740289287719905,3.8740289287719905,0.9708081786135828,0.00714111328125,14.325148058539693,0.49587570288281474,0.49587570288281474
1,C,C,10,-2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.11000551786304548,3.876759622071507,3.876759622071507,0.9724986205342386,0.006988525390625,14.337276357437691,0.4962252316251529,0.4962252316251529
1,C,C,10,-2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.10354124534284613,3.8784744640438,3.8784744640438,0.9741146886642885,0.006744384765625,14.359759435090078,0.49644473139760636,0.49644473139760636
1,C,C,10,-2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.09002746229775119,3.8865276571456207,3.8865276571456207,0.9774931344255622,0.005401611328125,14.402315872236926,0.49747554011463946,0.49747554011463946
1,C,C,10,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.09201062435737334,3.8783809839884613,3.8783809839884613,0.9769973439106566,0.005859375,14.39909787679624,0.49643276595052305,0.49643276595052305
1,C,C,10,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.19299954459865523,3.8070004554013446,3.8070004554013446,0.9517501138503361,0.01220703125,13.92243011167135,0.4872960582913721,0.4872960582913721
1,C,C,10,0.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.15448721529137022,3.8421926406298628,3.8421926406298628,0.9613781961771575,0.00958251953125,13.971590909692623,0.49180065800062245,0.49180065800062245
1,C,C,10,0.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.15613893403463766,3.8379638672879413,3.8379638672879413,0.9609652664913406,0.00927734375,13.977546239711867,0.4912593750128565,0.4912593750128565
1,C,C,10,0.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.1592600867715733,3.831536127546086,3.831536127546086,0.9601849783071067,0.009552001953125,13.903923647707154,0.49043662432589896,0.49043662432589896
