seed,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after
5,L,8,6.0,0.0,False,evidence,Raw,raw,2.8108083324663444,0.7027020831165861,0.07808430989583333,9.344340182580446,0.2998195554630767,0,0.0,0.0,0.0,0.0
5,L,8,6.0,0.0,False,evidence,Linear EQ,linear,2.8106363153483818,0.7026590788370954,0.0780029296875,9.344263088702014,0.29980120697049406,2,0.0,0.0,0.11869128140370158,0.11869128140370158
5,L,8,6.0,0.0,False,evidence,DBP-like,dbp_like,2.845349713323597,0.7113374283308993,0.07523600260416667,9.489792403469647,0.30350396942118374,1,0.0,0.0,0.11629632249281541,0.11246587323452444
5,L,8,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,2.977884915706917,0.7444712289267292,0.0623779296875,10.481118346682832,0.31764105767540446,60,0.010997099998348858,0.0,0.11869128140370158,0.0927613579449818
5,L,8,6.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.2127836079608407,0.8031959019902102,0.045979817708333336,11.22122817138842,0.3426969181824897,7538,2.022669099998893,0.009267900000850204,0.11629632249281541,0.07548787201054354
5,L,10,-2.0,0.0,False,evidence,Raw,raw,3.812593649190829,0.9531484122977073,0.0113525390625,13.910087688005905,0.40667665591368846,0,0.0,0.0,0.0,0.0
5,L,10,-2.0,0.0,False,evidence,Linear EQ,linear,3.812044434658451,0.9530111086646128,0.011393229166666666,13.90996800590302,0.4066180730302348,2,0.0,0.0,0.04001847359922518,0.04001847359922518
5,L,10,-2.0,0.0,False,evidence,DBP-like,dbp_like,3.8135755716528874,0.9533938929132219,0.011271158854166666,13.939701820922236,0.40678139430964133,1,0.0,0.0,0.04064351227875746,0.04036731075133649
5,L,10,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.77315986566566,0.943289966416415,0.012369791666666666,14.860840784181985,0.4024703856710038,60,0.007219399994937703,0.0,0.04001847359922518,0.03187989701344832
5,L,10,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.765231383359411,0.9413078458398527,0.013712565104166666,14.104386840917671,0.40162468089167047,7538,1.6875788000033936,0.007753600002615713,0.04064351227875746,0.0388652366002733
5,L,10,0.0,0.0,False,evidence,Raw,raw,3.753096776323014,0.9382741940807535,0.0157470703125,13.490743720795844,0.4003303228077882,0,0.0,0.0,0.0,0.0
5,L,10,0.0,0.0,False,evidence,Linear EQ,linear,3.7528149111489326,0.9382037277872332,0.015828450520833332,13.490726353802085,0.40030025718921947,2,0.0,0.0,0.04455028071749443,0.04455028071749443
5,L,10,0.0,0.0,False,evidence,DBP-like,dbp_like,3.7641602877169094,0.9410400719292273,0.0145263671875,13.582556017135312,0.4015104306898037,1,0.0,0.0,0.04476366407141621,0.04382726787943739
5,L,10,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.7256117831983957,0.9314029457995989,0.016764322916666668,14.44240707786599,0.3973985902078289,60,0.010076899998239242,0.0,0.04455028071749443,0.03530185482762701
5,L,10,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.763180742119661,0.9407951855299153,0.014404296875,14.142769621626526,0.4014059458260972,7538,2.1613710000019637,0.009684700002253521,0.04476366407141621,0.03852326053286467
5,L,10,2.0,0.0,False,evidence,Raw,raw,3.574185045792163,0.8935462614480407,0.0267333984375,12.364069824732105,0.3812464048844974,0,0.0,0.0,0.0,0.0
5,L,10,2.0,0.0,False,evidence,Linear EQ,linear,3.5741001498751586,0.8935250374687896,0.026936848958333332,12.36395545897589,0.38123734932001696,2,0.0,0.0,0.05785819900407647,0.05785819900407647
5,L,10,2.0,0.0,False,evidence,DBP-like,dbp_like,3.5994873930639297,0.8998718482659824,0.025227864583333332,12.504695758875341,0.3839453219268191,1,0.0,0.0,0.05802204312743839,0.05617336287254954
5,L,10,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.5655346783892496,0.8913836695973124,0.0255126953125,13.45227629149949,0.38032369902818663,60,0.011050600005546585,0.0,0.05785819900407647,0.04503024433358686
5,L,10,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.685128421142578,0.9212821052856445,0.018595377604166668,13.52127383797396,0.3930803649218749,7538,2.30814829999872,0.008623900001111906,0.05802204312743839,0.044450087089250155
5,L,10,4.0,0.0,False,evidence,Raw,raw,3.109986732505371,0.7774966831263428,0.0535888671875,10.533841686032453,0.33173191813390623,0,0.0,0.0,0.0,0.0
5,L,10,4.0,0.0,False,evidence,Linear EQ,linear,3.1107446668008025,0.7776861667002006,0.053995768229166664,10.533034051026387,0.3318127644587523,2,0.0,0.0,0.09035500626381587,0.09035500626381587
5,L,10,4.0,0.0,False,evidence,DBP-like,dbp_like,3.142802151200142,0.7857005378000355,0.052652994791666664,10.67686916533825,0.3352322294613485,1,0.0,0.0,0.08843329996609824,0.08556833538504043
5,L,10,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.2082938420848404,0.8020734605212101,0.048380533854166664,11.714154589661824,0.342218009822383,60,0.006748999992851168,0.0,0.09035500626381587,0.06798832464033935
5,L,10,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.4905259556923305,0.8726314889230826,0.028645833333333332,12.649344273443253,0.37232276860718194,7538,2.4395739000028698,0.007512999996833969,0.08843329996609824,0.05433323612160479
5,L,10,6.0,0.0,False,evidence,Raw,raw,2.2499378496518543,0.5624844624129636,0.12406412760416667,7.225842863255055,0.23999337062953116,0,0.0,0.0,0.0,0.0
5,L,10,6.0,0.0,False,evidence,Linear EQ,linear,2.2380994748355776,0.5595248687088944,0.1256103515625,7.222164650384498,0.23873061064912826,2,0.0,0.0,0.19693653108730552,0.19693653108730552
5,L,10,6.0,0.0,False,evidence,DBP-like,dbp_like,2.2687630113782307,0.5671907528445577,0.12369791666666667,7.309175775727491,0.24200138788034462,1,0.0,0.0,0.18941558676607065,0.18581570713237963
5,L,10,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,2.3928733959559008,0.5982183489889752,0.10648600260416667,7.93675531810041,0.25523982890196273,60,0.007882000005338341,0.0,0.19693653108730552,0.1683915410617141
