spans,launch_power_dbm,pcs_nu,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_score_mean,mean_score_std,mean_score_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
6,2.0,0.3,pcs_only,PCS only,3,15,6.366998109685756,0.0,0.0,16.049719796828224,0.002659777134577652,0.003009821167480325,0.0015253257287719466,4.794558023019189e-05,5.425553155861402e-05,1.0,0.0,0.0,1.0435754465872666,0.0007972105218127523,0.0009021286303640134,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.0,pcs_only,PCS only,3,15,6.3363507651474,0.003954146630433863,0.004474538138132635,12.768368370950588,0.0037171486812579385,0.004206349711814581,0.019546031746031745,0.0002526204314550006,0.00028586692924255423,0.9900548070542813,0.0006178354110052937,0.0006991465840832272,0.6399676429907073,0.0036826479545020016,0.004167308464210217,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.0,uniform_baseline,Uniform baseline,3,15,6.243857245993534,0.006022997779042727,0.0068156636025553195,12.303228105295956,0.003689357238694208,0.004174900733997719,0.02438095238095238,0.00041537896256272017,0.0004700455454685362,0.9756026946864899,0.0009410934029754626,0.00106494743789931,0.5426719882304547,0.006040930917454148,0.006835956859042248,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.06,pcs_only,PCS only,3,15,6.320887907976954,0.004520906011681015,0.005115886753537063,12.684634519950796,0.003383950955559545,0.003829300990428917,0.019718380990715993,0.00023177242328207106,0.0002622751871063658,0.9878438992116116,0.0007065383040430649,0.0007995233568628085,0.6330021931357557,0.0035391147948201315,0.004004885403785485,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.12,pcs_only,PCS only,3,15,6.301601148635157,0.0050992688844231845,0.005770365955660337,12.599688056742224,0.005035925830107048,0.005698686541917336,0.01988634765469478,0.00021706040457583663,0.000245626970704046,0.9854431327698,0.0007974226527157419,0.0009023686790785446,0.6257990506916111,0.003260195339320036,0.003689258327263685,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.18,pcs_only,PCS only,3,15,6.279335367340923,0.004541377162231735,0.005139052041127978,12.511831512765319,0.005391391021114426,0.0061009332724000125,0.020110519932711117,0.00012750929199318735,0.00014429034715063283,0.9829793068648822,0.0007109159670560043,0.0008044771489039349,0.617437819342674,0.0018490073293777624,0.0020923487635256905,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.24,pcs_only,PCS only,3,15,6.255270097464749,0.005042511602558592,0.005706139045012868,12.422470152383143,0.005778638193023227,0.006539144699931169,0.020292539054085186,0.00011870797819435684,0.00013433072300431757,0.9806305798539331,0.0007905080036017749,0.0008945440170050353,0.6095287267816979,0.0018274517616229048,0.0020679563423479184,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.3,pcs_only,PCS only,3,15,6.228939329982732,0.0043815495206245645,0.004958190038592525,12.330818090032324,0.00224751541378707,0.002543303113149284,0.02054562699727652,5.506309064764953e-05,6.23097528073531e-05,0.9783165037393363,0.0006881656700917626,0.0007787327643540952,0.6003109406409939,0.0007953785436631064,0.0009000555519314321,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.0,pcs_only,PCS only,3,15,4.80380786860193,0.0012734450441752327,0.0014410387245434204,8.43436875389601,0.003473815873678993,0.003930992718376173,0.07820317460317461,0.0002566721146755226,0.0002904518404227116,0.7505949794690516,0.0001989757881523801,0.00022516230070990944,-0.5154190109849833,0.003951790020105225,0.004471871382501711,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.0,uniform_baseline,Uniform baseline,3,15,4.564525347095352,0.0012001439893895964,0.0013580907724671742,7.912962717433719,0.0034520588676573735,0.003906372348340822,0.08674444444444444,0.0002665107253793938,0.00030158527651784225,0.7132070854836488,0.00018752249834203176,0.00021220168319789105,-0.680346468162961,0.004035727057768976,0.004566855082230398,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.06,pcs_only,PCS only,3,15,4.7646696890658395,0.0009987866225511265,0.0011302334617700645,8.350495551399433,0.002776661748093741,0.0031420885591124984,0.0787941423968788,0.0002059825448879886,0.00023309119236931101,0.7446342907239761,0.000156092828423105,0.0001766356635569535,-0.530247667959482,0.0030423649264183067,0.0034427600101117435,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.12,pcs_only,PCS only,3,15,4.7244143313904985,0.0018383329823093797,0.0020802696027051163,8.265727938857495,0.0041045955033498244,0.0046447870647961555,0.079324572411078,0.00013995193968580137,0.00015837052850036708,0.7388029723582781,0.0002874781457016879,0.0003253121462217277,-0.544278513185837,0.0018734915990606083,0.0021200553229226036,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.18,pcs_only,PCS only,3,15,4.682129919347296,0.002103619346301884,0.002380469383885399,8.178085204277854,0.004870501800267769,0.0055114916299273805,0.0800779085253573,4.841835033560987e-05,5.4790521295964656e-05,0.7329496759655156,0.000329304642285892,0.0003726432827835402,-0.5619032250860921,0.00044455867017864463,0.0005030654930805162,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.24,pcs_only,PCS only,3,15,4.638405615307537,0.0021114451517923053,0.0023893251164621787,8.088799089582352,0.005057357140201181,0.005722938352315126,0.08081182775242855,0.00016703784255705175,0.0001890211129957296,0.7271568321214931,0.0003310085178210099,0.00037457139946131746,-0.5793984116826317,0.002163724375439966,0.0024484846272003423,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.3,pcs_only,PCS only,3,15,4.59278589202476,0.0006869338064677762,0.0007773387794360648,7.996795666978714,0.0014516883774690359,0.00164274004400195,0.08150281263297966,0.00024106220404140427,0.00027278756365370854,0.721342430593471,0.00010788974562793694,0.0001220887404149357,-0.5964846366805624,0.0035454767781768286,0.0040120846656804795,0.0,0.0,0.0,0.0,0.0,0.0
8,-2.0,0.0,pcs_only,PCS only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,18.595348105871775,0.0031913515376128907,0.003611354231866276,0.00010317460317460317,1.4547859349066158e-05,1.6462452602179675e-05,1.0,0.0,0.0,1.1689329718539188,0.00017602586359799244,0.0001991920162759691,0.0,0.0,0.0,0.0,0.0,0.0
