seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,scenario,symbol_count,ssfm_steps_per_span,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
2,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.673860619539361,0.9184651548848403,0.019317626953125,12.53305653587516,0.3918784660841986,0.3918784660841986
3,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.6246437315557727,0.9061609328889432,0.0227203369140625,12.798811262380847,0.3866286646992825,0.3866286646992825
3,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.695811529021263,0.9239528822553158,0.017364501953125,12.690294087319863,0.39421989642893474,0.39421989642893474
4,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.632995639552754,0.9082489098881885,0.02166748046875,12.858729358300298,0.38751953488562707,0.38751953488562707
4,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.6853422846209796,0.9213355711552449,0.018829345703125,12.57181987565561,0.39310317702623787,0.39310317702623787
5,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.651086793748201,0.9127716984370503,0.0216522216796875,12.883629335070538,0.3894492579998082,0.3894492579998082
5,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.6799289716513126,0.9199822429128282,0.0187225341796875,12.60018908833482,0.39252575697614006,0.39252575697614006
6,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.630136043614005,0.9075340109035013,0.0224609375,12.79835179671747,0.3872145113188272,0.3872145113188272
6,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.6870713751300057,0.9217678437825014,0.0187530517578125,12.581675681317915,0.39328761334720064,0.39328761334720064
7,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.640049846010708,0.910012461502677,0.02197265625,12.86984092354655,0.3882719835744755,0.3882719835744755
7,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.689217244557658,0.9223043111394145,0.01751708984375,12.619097765630723,0.39351650608615013,0.39351650608615013
1,S,12,-2.0,0.0,False,uniform_raw,16384,12,1,S,3.7610450432888287,0.9402612608222072,0.015472412109375,13.5530345000279,0.4011781379508084,0.4011781379508084
1,S,12,-2.0,0.36,True,pcs_raw,16384,12,1,S,3.8239756524278175,0.9559939131069544,0.0111236572265625,13.446028728061348,0.4078907362589672,0.4078907362589672
2,S,12,-2.0,0.0,False,uniform_raw,16384,12,1,S,3.76708630497125,0.9417715762428125,0.0155181884765625,13.544549455161965,0.40182253919693334,0.40182253919693334
2,S,12,-2.0,0.36,True,pcs_raw,16384,12,1,S,3.824096749526675,0.9560241873816687,0.0115814208984375,13.449089252560547,0.40790365328284534,0.40790365328284534
3,S,12,-2.0,0.0,False,uniform_raw,16384,12,1,S,3.7487185469909017,0.9371796367477254,0.0157470703125,13.408554612710514,0.3998633116790295,0.3998633116790295
3,S,12,-2.0,0.36,True,pcs_raw,16384,12,1,S,3.811232333758169,0.9528080834395423,0.012115478515625,13.40986265705525,0.40653144893420473,0.40653144893420473
4,S,12,-2.0,0.0,False,uniform_raw,16384,12,1,S,3.7478709880023313,0.9369677470005828,0.0161895751953125,13.441018229474821,0.39977290538691534,0.39977290538691534
4,S,12,-2.0,0.36,True,pcs_raw,16384,12,1,S,3.831924543253437,0.9579811358133592,0.010986328125,13.496619053465363,0.40873861794703326,0.40873861794703326
5,S,12,-2.0,0.0,False,uniform_raw,16384,12,1,S,3.7545619019893,0.938640475497325,0.01593017578125,13.473768966750292,0.4004866028788586,0.4004866028788586
5,S,12,-2.0,0.36,True,pcs_raw,16384,12,1,S,3.823060227398355,0.9557650568495888,0.0114288330078125,13.408959981367943,0.4077930909224912,0.4077930909224912
6,S,12,-2.0,0.0,False,uniform_raw,16384,12,1,S,3.7556946410875423,0.9389236602718856,0.0156707763671875,13.411746753133585,0.40060742838267116,0.40060742838267116
6,S,12,-2.0,0.36,True,pcs_raw,16384,12,1,S,3.811223725897472,0.952805931474368,0.0122528076171875,13.39770792967245,0.40653053076239704,0.40653053076239704
