scenario_group,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_bands,bands,n_seeds,symbol_entropy_bits_mean,symbol_entropy_bits_std,symbol_entropy_bits_ci95,conditional_bit_entropy_sum_mean,conditional_bit_entropy_sum_std,conditional_bit_entropy_sum_ci95,bmd_gmi_bits_per_symbol_mean,bmd_gmi_bits_per_symbol_std,bmd_gmi_bits_per_symbol_ci95,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,air_tbps_mean,air_tbps_std,air_tbps_ci95,air_tbps_per_channel_mean,air_tbps_per_channel_std,air_tbps_per_channel_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,rate_tbps_per_channel_mean,rate_tbps_per_channel_std,rate_tbps_per_channel_ci95
C,6,0.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.994102801322579,4.796711693331816e-16,3.553453750400821e-16,0.09036981456087048,0.007558515556898168,0.005599426684422321,3.903732986761708,0.007558515556898136,0.005599426684422297,3.903732986761708,0.007558515556898136,0.005599426684422297,0.9774075463597824,0.001889628889224534,0.0013998566711055742,0.005610874720982143,0.0006192959760610915,0.0004587808793681843,14.641717494909946,0.047698589168060856,0.03533560935165192,0.49967782230549856,0.0009674899912829546,0.0007167266156060489,0.49967782230549856,0.0009674899912829546,0.0007167266156060489,0.49967782230549856,0.0009674899912829546,0.0007167266156060489,0.49967782230549856,0.0009674899912829546,0.0007167266156060489
C,6,0.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.9907962143176587,4.796711693331816e-16,3.553453750400821e-16,0.09175719582542527,0.008897271163315477,0.006591190716666947,3.899039018492234,0.008897271163315495,0.00659119071666696,3.899039018492234,0.008897271163315495,0.00659119071666696,0.9770607010436436,0.0022243177908288737,0.00164779767916674,0.005610874720982143,0.0006776983660652568,0.0005020459753465755,14.597851787288286,0.045941411948018825,0.03403387425021619,0.499076994367006,0.0011388507089043953,0.0008436724117333799,0.499076994367006,0.0011388507089043953,0.0008436724117333799,0.499076994367006,0.0011388507089043953,0.0008436724117333799,0.499076994367006,0.0011388507089043953,0.0008436724117333799
C,6,0.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.986765139934552,4.796711693331816e-16,3.553453750400821e-16,0.08435420508113552,0.0052552521702934,0.003893145289468064,3.902410934853417,0.005255252170293324,0.0038931452894680066,3.902410934853417,0.005255252170293324,0.0038931452894680066,0.978911448729716,0.001313813042573331,0.0009732863223670017,0.005244663783482143,0.00034184617705516017,0.00025324319191531025,14.627272185479796,0.054169787728441214,0.040129540332731896,0.4995085996612373,0.0006726722777975468,0.0004983225970519059,0.4995085996612373,0.0006726722777975468,0.0004983225970519059,0.4995085996612373,0.0006726722777975468,0.0004983225970519059,0.4995085996612373,0.0006726722777975468,0.0004983225970519059
C,6,0.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.982015709386645,9.593423386663633e-16,7.106907500801642e-16,0.08141098643283637,0.008714548840933027,0.00645582812594579,3.9006047229538092,0.008714548840933006,0.006455828125945775,3.9006047229538092,0.008714548840933006,0.006455828125945775,0.9796472533917909,0.002178637210233252,0.001613957031486444,0.005205426897321429,0.0005384305088584688,0.00039887490292425117,14.618989085496908,0.06881621919215912,0.05097976860204571,0.49927740453808767,0.0011154622516394237,0.0008263460001210584,0.49927740453808767,0.0011154622516394237,0.0008263460001210584,0.49927740453808767,0.0011154622516394237,0.0008263460001210584,0.49927740453808767,0.0011154622516394237,0.0008263460001210584
C,6,0.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.976555119443372,0.0,0.0,0.0826359983175271,0.004619629180498152,0.003422269189061863,3.893919121125845,0.004619629180498198,0.003422269189061897,3.893919121125845,0.004619629180498198,0.003422269189061897,0.9793410004206182,0.0011549072951245495,0.0008555672972654743,0.005170549665178571,0.00040172739211143376,0.0002976038168234277,14.609786836951738,0.03629220987440772,0.02688564531986074,0.49842164750410817,0.0005913125351037594,0.0004380504561999154,0.49842164750410817,0.0005913125351037594,0.0004380504561999154,0.49842164750410817,0.0005913125351037594,0.0004380504561999154,0.49842164750410817,0.0005913125351037594,0.0004380504561999154
C,6,0.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.970391608345835,0.0,0.0,0.07831290560888142,0.007105501099359731,0.0052638288778325305,3.892078702736953,0.00710550109935972,0.005263828877832524,3.892078702736953,0.00710550109935972,0.005263828877832524,0.9804217735977795,0.00177637527483993,0.001315957219458131,0.004956926618303571,0.0005244103847901393,0.00038848864966643126,14.587872669966355,0.062966176272537,0.04664599615922089,0.49818607395033004,0.0009095041407180219,0.0006737700963625464,0.49818607395033004,0.0009095041407180219,0.0006737700963625464,0.49818607395033004,0.0009095041407180219,0.0006737700963625464,0.49818607395033004,0.0009095041407180219,0.0006737700963625464
C,6,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,7,4.0,0.0,0.0,0.1492065615112052,0.008719986601896062,0.0064598564756410065,3.8507934384887954,0.008719986601896096,0.006459856475641033,3.8507934384887954,0.008719986601896096,0.006459856475641033,0.9626983596221989,0.002179996650474024,0.0016149641189102581,0.009286063058035714,0.0005328833717331235,0.00039476552623408066,14.254590622950206,0.0500393436088273,0.03706966450820258,0.4929015601265658,0.0011161582850427179,0.0008268616288820652,0.4929015601265658,0.0011161582850427179,0.0008268616288820652,0.4929015601265658,0.0011161582850427179,0.0008268616288820652,0.4929015601265658,0.0011161582850427179,0.0008268616288820652
C,6,2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.996679855921233,0.0,0.0,0.13402464141961998,0.005268829827302986,0.003903203758541666,3.8626552145016126,0.005268829827302987,0.003903203758541667,3.8626552145016126,0.005268829827302987,0.003903203758541667,0.9664938396450948,0.0013172074568257464,0.0009758009396354165,0.008270263671875,0.00043373627940527024,0.00032131633236997593,14.240305554900006,0.032661275755867226,0.024195811682595793,0.4944198674562065,0.0006744102178947984,0.0004996100810933453,0.4944198674562065,0.0006744102178947984,0.0004996100810933453,0.4944198674562065,0.0006744102178947984,0.0004996100810933453,0.4944198674562065,0.0006744102178947984,0.0004996100810933453
C,6,2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.994102801322579,4.796711693331816e-16,3.553453750400821e-16,0.1269951009016665,0.008781885498912989,0.006505711820263084,3.8671077004209122,0.008781885498913032,0.006505711820263115,3.8671077004209122,0.008781885498913032,0.006505711820263115,0.9682512247745834,0.002195471374728258,0.0016264279550657788,0.007877894810267858,0.0004956730423599503,0.0003671997284712995,14.212131267992167,0.04744853899630408,0.03515036959211984,0.4949897856538768,0.001124081343860877,0.0008327311129936852,0.4949897856538768,0.001124081343860877,0.0008327311129936852,0.4949897856538768,0.001124081343860877,0.0008327311129936852,0.4949897856538768,0.001124081343860877,0.0008327311129936852
C,6,2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.9907962143176587,4.796711693331816e-16,3.553453750400821e-16,0.1202620070804756,0.0072606544377052515,0.005378768079368769,3.870534207237184,0.007260654437705254,0.005378768079368771,3.870534207237184,0.007260654437705254,0.005378768079368771,0.969934498229881,0.0018151636094263135,0.0013446920198421928,0.007590157645089286,0.0007426740251567371,0.000550180617210575,14.21842421829641,0.047289570160844945,0.03503260383076621,0.4954283785263595,0.0009293637680262554,0.0006884823141591901,0.4954283785263595,0.0009293637680262554,0.0006884823141591901,0.4954283785263595,0.0009293637680262554,0.0006884823141591901,0.4954283785263595,0.0009293637680262554,0.0006884823141591901
