stress_name,stress_noise,stress_nonlinear,stress_implementation,stress_phase,launch_power_dbm,spans,in_target_region,selector_score,gmi,ngmi,ber,gsnr_db,rate_tbps
near_limit,0.16,5.0,0.026,0.055,2.0,8,False,0.9423057645404829,2.5707611779841857,0.6426902944960464,0.10396321614583333,8.611383669534899,0.2742145256516465
edge_plus,0.12,4.2,0.018,0.044,4.0,8,False,0.9566245581561816,2.5563403374841656,0.6390850843710414,0.10384114583333333,8.464214410573158,0.27267630266497767
medium_plus,0.03,2.2,0.004,0.018,0.0,6,False,0.9631927245083605,3.9947814861388826,0.9986953715347207,0.0004069010416666667,17.310847976435703,0.4261100251881475
medium_plus,0.03,2.2,0.004,0.018,-2.0,8,False,0.9713285735306205,3.9937658370490077,0.9984414592622519,0.0003662109375,17.299092702051414,0.4260016892852275
medium_plus,0.03,2.2,0.004,0.018,-2.0,6,False,1.0098005987199767,3.9970196104272278,0.9992549026068069,0.000244140625,17.512493716818106,0.42634875844557096
near_limit,0.16,5.0,0.026,0.055,4.0,6,False,1.0253319331901327,2.4906105086817742,0.6226526271704436,0.10746256510416667,8.292537564923151,0.26566512092605593
edge_plus,0.12,4.2,0.018,0.044,6.0,6,False,1.0810948261689883,2.4374396438174855,0.6093599109543714,0.1107177734375,8.060362967653548,0.2599935620071985
strong_plus,0.085,3.4,0.012,0.034,6.0,8,False,1.1794879725316936,2.346564298362197,0.5866410745905493,0.1207275390625,7.698996213577121,0.250300191825301
near_limit,0.16,5.0,0.026,0.055,2.0,10,False,1.1985324899002643,2.3298022515302628,0.5824505628825657,0.12394205729166667,7.7475336070167735,0.24851224016322807
evidence,0.055,2.8,0.008,0.026,6.0,10,False,1.2054531332756138,2.3187349507605197,0.5796837376901299,0.1181640625,7.559278692346048,0.2473317280811221
edge_plus,0.12,4.2,0.018,0.044,4.0,10,False,1.4375900875160208,2.1014617287369033,0.5253654321842258,0.14021809895833334,6.818445990072714,0.22415591773193633
near_limit,0.16,5.0,0.026,0.055,4.0,8,False,1.4618921096562465,2.0804004400040697,0.5201001100010174,0.14554850260416666,6.869301861078495,0.22190938026710078
near_limit,0.16,5.0,0.026,0.055,6.0,6,False,1.6115398129828595,1.9386174852738827,0.48465437131847067,0.15934244791666666,6.5259728551546115,0.20678586509588082
edge_plus,0.12,4.2,0.018,0.044,6.0,8,False,1.8404421240726943,1.7199555361207777,0.4299888840301944,0.17928059895833334,5.611680855273256,0.18346192385288296
strong_plus,0.085,3.4,0.012,0.034,6.0,10,False,1.858349527355686,1.7022450472190647,0.42556126180476617,0.1796875,5.46631663853546,0.18157280503670026
near_limit,0.16,5.0,0.026,0.055,4.0,10,False,1.995172827628592,1.5718825642859104,0.3929706410714776,0.19356282552083334,5.1419508986322295,0.16766747352383043
near_limit,0.16,5.0,0.026,0.055,6.0,8,False,2.4081765085681206,1.1760379284222289,0.2940094821055572,0.23583984375,4.129502513665281,0.1254440456983711
edge_plus,0.12,4.2,0.018,0.044,6.0,10,False,2.518639170891243,1.0688544594042375,0.2672136148510594,0.24491373697916666,3.671697504834752,0.11401114233645201
near_limit,0.16,5.0,0.026,0.055,6.0,10,False,3.06742938696555,0.542600563860127,0.13565014096503175,0.3174641927083333,2.2117812882862102,0.057877393478413544
